Date, Time, Height in MM
02/11/2015, 08:56:14, 1023
02/11/2015, 08:56:16, 1024
02/11/2015, 08:56:17, 1024
02/11/2015, 08:56:19, 1024
02/11/2015, 08:56:21, 1025
02/11/2015, 08:56:23, 1025
02/11/2015, 08:56:24, 1025
02/11/2015, 08:56:26, 1025
02/11/2015, 08:56:28, 1026
02/11/2015, 08:56:30, 1026
02/11/2015, 08:56:32, 1025
02/11/2015, 08:56:33, 1025
02/11/2015, 08:56:35, 1025
02/11/2015, 08:56:37, 1025
02/11/2015, 08:56:39, 1025
02/11/2015, 08:56:40, 1025
02/11/2015, 08:56:42, 1025
02/11/2015, 08:56:44, 1025
02/11/2015, 08:56:46, 1025
02/11/2015, 08:56:47, 1025
02/11/2015, 08:56:49, 1025
02/11/2015, 08:56:51, 1025
02/11/2015, 08:56:53, 1025
02/11/2015, 08:56:54, 1025
02/11/2015, 08:56:56, 1025
02/11/2015, 08:56:58, 1025
02/11/2015, 08:57:00, 1025
02/11/2015, 08:57:02, 1025
02/11/2015, 08:57:03, 1025
02/11/2015, 08:57:05, 1025
02/11/2015, 08:57:07, 1025
02/11/2015, 08:57:09, 1025
02/11/2015, 08:57:10, 1025
02/11/2015, 08:57:12, 1025
02/11/2015, 08:57:14, 1025
02/11/2015, 08:57:16, 1025
02/11/2015, 08:57:17, 1025
02/11/2015, 08:57:19, 1025
02/11/2015, 08:57:21, 1026
02/11/2015, 08:57:23, 1026
02/11/2015, 08:57:24, 1026
02/11/2015, 08:57:26, 1026
02/11/2015, 08:57:28, 1025
02/11/2015, 08:57:30, 1025
02/11/2015, 08:57:32, 1025
02/11/2015, 08:57:33, 1025
02/11/2015, 08:57:35, 1025
02/11/2015, 08:57:37, 1025
02/11/2015, 08:57:39, 1025
02/11/2015, 08:57:40, 1025
02/11/2015, 08:57:42, 1026
02/11/2015, 08:57:44, 1026
02/11/2015, 08:57:46, 1026
02/11/2015, 08:57:47, 1026
02/11/2015, 08:57:49, 1026
02/11/2015, 08:57:51, 1026
02/11/2015, 08:57:53, 1026
02/11/2015, 08:57:54, 1026
02/11/2015, 08:57:56, 1025
02/11/2015, 08:57:58, 1025
02/11/2015, 08:58:00, 1025
02/11/2015, 08:58:02, 1025
02/11/2015, 08:58:03, 1026
02/11/2015, 08:58:05, 1026
02/11/2015, 08:58:07, 1026
02/11/2015, 08:58:09, 1026
02/11/2015, 08:58:10, 1026
02/11/2015, 08:58:12, 1026
02/11/2015, 08:58:14, 1026
02/11/2015, 08:58:16, 1026
02/11/2015, 08:58:17, 1026
02/11/2015, 08:58:19, 1026
02/11/2015, 08:58:21, 1026
02/11/2015, 08:58:23, 1026
02/11/2015, 08:58:24, 1026
02/11/2015, 08:58:26, 1026
02/11/2015, 08:58:28, 1026
02/11/2015, 08:58:30, 1026
02/11/2015, 08:58:32, 1026
02/11/2015, 08:58:33, 1026
02/11/2015, 08:58:35, 1026
02/11/2015, 08:58:37, 1026
02/11/2015, 08:58:39, 1026
02/11/2015, 08:58:40, 1026
02/11/2015, 08:58:42, 1027
02/11/2015, 08:58:44, 1027
02/11/2015, 08:58:46, 1027
02/11/2015, 08:58:47, 1027
02/11/2015, 08:58:49, 1027
02/11/2015, 08:58:51, 1027
02/11/2015, 08:58:53, 1027
02/11/2015, 08:58:54, 1027
02/11/2015, 08:58:56, 1027
02/11/2015, 08:58:58, 1027
02/11/2015, 08:59:00, 1027
02/11/2015, 08:59:02, 1027
02/11/2015, 08:59:03, 1027
02/11/2015, 08:59:05, 1027
02/11/2015, 08:59:07, 1027
02/11/2015, 08:59:09, 1027
02/11/2015, 08:59:10, 1027
02/11/2015, 08:59:12, 1027
02/11/2015, 08:59:14, 1027
02/11/2015, 08:59:16, 1027
02/11/2015, 08:59:17, 1026
02/11/2015, 08:59:19, 1026
02/11/2015, 08:59:21, 1026
02/11/2015, 08:59:23, 1026
02/11/2015, 08:59:24, 1026
02/11/2015, 08:59:26, 1026
02/11/2015, 08:59:28, 1026
02/11/2015, 08:59:30, 1026
02/11/2015, 08:59:32, 1026
02/11/2015, 08:59:33, 1027
02/11/2015, 08:59:35, 1027
02/11/2015, 08:59:37, 1027
02/11/2015, 08:59:39, 1027
02/11/2015, 08:59:40, 1027
02/11/2015, 08:59:42, 1028
02/11/2015, 08:59:44, 1028
02/11/2015, 08:59:46, 1028
02/11/2015, 08:59:47, 1028
